device_id,product_class,timestamp,rx_power_dbm,tx_power_dbm,bias_current_ua,supply_voltage_v,temperature_c,rx_power_lower,rx_power_upper,health_score,root_cause,vendor
HUAWEI_BOX_021,HG8145V5,2026-02-15 20:05:44,-12.57,2.66,10551.07,3.3,44.22,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_027,HG8145V5,2026-02-16 14:05:44,-18.8,2.37,10389.74,3.3,54.27,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_016,HG8145V5,2026-02-15 14:05:44,-15.19,1.83,10063.05,3.36,51.19,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_001,HG8145V5,2026-02-17 08:05:44,-31.69,6.96,16781.77,3.03,71.51,-28,-8,2,CRITICAL_FIBER_ISSUE,HUAWEI
HUAWEI_BOX_024,HG8145V5,2026-02-15 20:05:44,-14.03,3.41,9398.01,3.31,45.78,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_023,HG8145V5,2026-02-16 14:05:44,-19.3,4.01,13903.11,3.2,67.68,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_020,HG8145V5,2026-02-16 14:05:44,-23.52,4.41,11904.89,3.29,69.31,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_011,HG8145V5,2026-02-17 08:05:44,-22.74,4.35,13937.8,3.25,67.86,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_001,HG8145V5,2026-02-16 08:05:44,-30.56,6.02,18244.6,3.24,74.73,-28,-8,2,CRITICAL_FIBER_ISSUE,HUAWEI
HUAWEI_BOX_018,HG8145V5,2026-02-16 08:05:44,-23.23,3.4,11501.75,3.25,59.79,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_024,HG8145V5,2026-02-16 20:05:44,-15.92,3.46,10137.76,3.35,37.52,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_006,HG8145V5,2026-02-16 20:05:44,-25.63,4.39,12453.63,3.39,66.37,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_022,HG8145V5,2026-02-17 02:05:44,-26.31,3.54,12982.86,3.18,61.92,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_005,HG8145V5,2026-02-16 08:05:44,-13.43,3.64,9821.72,3.39,49.05,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_019,HG8145V5,2026-02-15 14:05:44,-20.56,3.01,10102.45,3.24,63.93,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_023,HG8145V5,2026-02-15 08:05:44,-23.19,3.94,13508.34,3.25,55.15,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_029,HG8145V5,2026-02-17 08:05:44,-24.5,3.2,12899.27,3.21,58.69,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_022,HG8145V5,2026-02-15 08:05:44,-18.62,3.19,9464.14,3.28,51.77,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_015,HG8145V5,2026-02-17 02:05:44,-15.06,2.53,8169.94,3.37,46.61,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_017,HG8145V5,2026-02-16 08:05:44,-31.2,6.02,14660.47,3.09,73.08,-28,-8,2,CRITICAL_FIBER_ISSUE,HUAWEI
HUAWEI_BOX_008,HG8145V5,2026-02-17 02:05:44,-21.12,4.9,13605.55,3.17,57.52,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_012,HG8145V5,2026-02-15 20:05:44,-12.24,3.2,10898.31,3.31,41.69,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_025,HG8145V5,2026-02-17 08:05:44,-31.3,3.99,17307.53,3.04,72.5,-28,-8,2,CRITICAL_FIBER_ISSUE,HUAWEI
HUAWEI_BOX_026,HG8145V5,2026-02-15 02:05:44,-18.42,2.57,9134.62,3.29,46.73,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_011,HG8145V5,2026-02-16 02:05:44,-19.79,4.79,13479.06,3.22,66.33,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_005,HG8145V5,2026-02-15 14:05:44,-11.72,3.0,9966.29,3.36,46.81,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_029,HG8145V5,2026-02-15 08:05:44,-18.97,4.44,14053.84,3.3,65.25,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_030,HG8145V5,2026-02-16 08:05:44,-13.33,2.78,8665.19,3.26,46.02,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_016,HG8145V5,2026-02-16 20:05:44,-20.4,3.65,9683.92,3.33,50.04,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_024,HG8145V5,2026-02-17 02:05:44,-16.19,3.3,9323.9,3.21,47.99,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_002,HG8145V5,2026-02-16 20:05:44,-17.13,3.95,9121.27,3.35,39.66,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_017,HG8145V5,2026-02-16 02:05:44,-30.3,4.82,15294.9,3.03,77.6,-28,-8,2,CRITICAL_FIBER_ISSUE,HUAWEI
HUAWEI_BOX_004,HG8145V5,2026-02-15 20:05:44,-32.11,5.8,16026.57,3.19,76.59,-28,-8,2,CRITICAL_FIBER_ISSUE,HUAWEI
HUAWEI_BOX_003,HG8145V5,2026-02-16 02:05:44,-22.2,3.1,10945.63,3.26,56.23,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_022,HG8145V5,2026-02-16 08:05:44,-23.17,4.68,11520.95,3.24,58.25,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_012,HG8145V5,2026-02-17 08:05:44,-20.2,3.9,9968.21,3.28,51.07,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_001,HG8145V5,2026-02-16 20:05:44,-29.41,5.73,16356.22,3.26,73.9,-28,-8,2,CRITICAL_FIBER_ISSUE,HUAWEI
HUAWEI_BOX_010,HG8145V5,2026-02-15 02:05:44,-20.27,2.97,14085.18,3.24,57.26,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_005,HG8145V5,2026-02-16 14:05:44,-15.55,3.74,9572.35,3.28,50.81,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_008,HG8145V5,2026-02-15 20:05:44,-22.52,3.67,13208.6,3.2,66.27,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_010,HG8145V5,2026-02-15 20:05:44,-18.0,4.75,12960.82,3.28,69.29,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_008,HG8145V5,2026-02-16 14:05:44,-21.02,5.31,13742.78,3.21,64.07,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_029,HG8145V5,2026-02-16 14:05:44,-21.04,4.91,12949.75,3.26,67.84,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_007,HG8145V5,2026-02-15 02:05:44,-17.01,3.23,10902.44,3.22,44.51,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_008,HG8145V5,2026-02-16 20:05:44,-22.49,3.17,14407.46,3.2,59.32,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_007,HG8145V5,2026-02-15 20:05:44,-13.89,2.15,10717.72,3.32,47.63,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_024,HG8145V5,2026-02-16 02:05:44,-14.92,3.85,7926.54,3.28,47.34,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_023,HG8145V5,2026-02-17 08:05:44,-23.79,4.27,13497.96,3.18,56.4,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_012,HG8145V5,2026-02-15 08:05:44,-13.25,3.29,9830.93,3.34,41.33,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_024,HG8145V5,2026-02-15 08:05:44,-13.86,3.07,9082.47,3.25,38.5,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_019,HG8145V5,2026-02-15 02:05:44,-19.05,3.26,9097.98,3.41,47.97,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_015,HG8145V5,2026-02-16 02:05:44,-12.81,3.1,9084.34,3.26,39.18,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_024,HG8145V5,2026-02-17 08:05:44,-12.17,3.84,10470.92,3.29,41.78,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_008,HG8145V5,2026-02-16 08:05:44,-22.27,4.6,14129.47,3.25,69.56,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_030,HG8145V5,2026-02-16 20:05:44,-17.77,2.47,9237.11,3.29,37.41,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_028,HG8145V5,2026-02-17 02:05:44,-15.44,3.36,8179.6,3.35,39.27,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_010,HG8145V5,2026-02-16 20:05:44,-23.38,3.64,13016.66,3.25,55.6,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_010,HG8145V5,2026-02-15 14:05:44,-23.43,2.71,14471.5,3.24,66.42,-28,-8,1,OPTICAL_AGING,HUAWEI
HUAWEI_BOX_020,HG8145V5,2026-02-15 14:05:44,-19.45,4.29,9972.32,3.29,63.55,-28,-8,0,NORMAL,HUAWEI
HUAWEI_BOX_003,HG8145V5,2026-02-16 08:05:44,-22.55,4.07,11418.02,3.24,60.72,-28,-8,0,NORMAL,HUAWEI
